Ticker,Company_name,CUSIP,source,Market_Cap
CPK,CHESAPEAKE UTILITIES CORP,165303108,sp600_row_341.csv,3127291392.0
CPRI,Capri Holdings Limited,G1890L107,sp400_row_400.csv,2214027520.0
CPRT,COPART INC,217204106,sp500_row_504.csv,32999723008.0
CPRX,CATALYST PHARMACEUTICALS INC,14888U101,sp600_row_341.csv,2855254528.0
CPT,CAMDEN PROPERTY TRUST,133131102,sp500_row_504.csv,10704434176.0
CR,Crane Company,224408104,sp400_row_400.csv,9874993152.0
CRBG,Corebridge Financial Inc.,21871X109,sp400_row_400.csv,11847895040.0
CRH,CRH PLC,G25508105,sp500_row_504.csv,66819493888.0
CRK,COMSTOCK RESOURCES INC,205768302,sp600_row_341.csv,6118592000.0
CRL,CHARLES RIVER LABORATORIES,159864107,sp500_row_504.csv,7652954112.0
CRM,SALESFORCE INC,79466L302,"dow_row_179.csv, dow_row_31.csv, sp500_row_504.csv",180681719808.0
CROX,Crocs Inc.,227046109,sp400_row_400.csv,4046825216.0
CRS,Carpenter Technology Corporation,144285103,sp400_row_400.csv,17998544896.0
CRUS,Cirrus Logic Inc.,172755100,sp400_row_400.csv,6823273472.0
CRVL,CORVEL CORP,221006109,sp600_row_341.csv,2697127168.0
CRWD,CROWDSTRIKE HOLDINGS INC   A,22788C105,sp500_row_504.csv,112041631744.0
CSCO,CISCO SYSTEMS INC,17275R102,"dow_row_179.csv, dow_row_31.csv, sp500_row_504.csv",309489238016.0
CSGP,COSTAR GROUP INC,22160N109,sp500_row_504.csv,18491387904.0
CSGS,CSG SYSTEMS INTL INC,126349109,sp600_row_341.csv,2279073792.0
CSL,Carlisle Companies Incorporated,142339100,sp400_row_400.csv,14265663488.0
CSR,CENTERSPACE,15202L107,sp600_row_341.csv,1100069632.0
CSW,CSW INDUSTRIALS INC,126402106,sp600_row_341.csv,4280808192.0
CSX,CSX CORP,126408103,sp500_row_504.csv,73080578048.0
CTAS,CINTAS CORP,172908105,sp500_row_504.csv,78074658816.0
CTKB,CYTEK BIOSCIENCES INC,23285D109,sp600_row_341.csv,515486080.0
CTRA,COTERRA ENERGY INC,127097103,sp500_row_504.csv,24410617856.0
CTRE,CARETRUST REIT INC,14174T107,sp600_row_341.csv,8936185856.0
CTS,CTS CORP,126501105,sp600_row_341.csv,1330310528.0
CTSH,COGNIZANT TECH SOLUTIONS A,192446102,sp500_row_504.csv,29137367040.0
CTVA,CORTEVA INC,22052L104,sp500_row_504.csv,53524729856.0
CUBE,CubeSmart,229663109,sp400_row_400.csv,8859764736.0
CUBI,CUSTOMERS BANCORP INC,23204G100,sp600_row_341.csv,2214212096.0
CURB,CURBLINE PROPERTIES CORP,23128Q101,sp600_row_341.csv,2794362624.0
CUZ,Cousins Properties Incorporated,222795502,sp400_row_400.csv,3827199488.0
CVCO,CAVCO INDUSTRIES INC,149568107,sp600_row_341.csv,3875903744.0
CVI,CVR ENERGY INC,12662P108,sp600_row_341.csv,2872159232.0
CVLT,Commvault Systems Inc.,204166102,sp400_row_400.csv,3481690624.0
CVNA,CARVANA CO,146869102,sp500_row_504.csv,65775673344.0
CVS,CVS HEALTH CORP,126650100,"dow_row_179.csv, sp500_row_504.csv",96853426176.0
CVSA,COVISTA INC,00737L103,sp600_row_341.csv,3818493696.0
CVX,CHEVRON CORP,166764100,"dow_row_179.csv, dow_row_31.csv, sp500_row_504.csv",393512779776.0
CW,Curtiss-Wright Corporation,231561101,sp400_row_400.csv,24187148288.0
CWEN,CLEARWAY ENERGY INC C,18539C204,sp600_row_341.csv,4619742720.0
CWEN-A,CLEARWAY ENERGY INC A,18539C105,sp600_row_341.csv,4593144320.0
CWST,CASELLA WASTE SYSTEMS INC A,147448104,sp600_row_341.csv,5595015680.0
CWT,CALIFORNIA WATER SERVICE GRP,130788102,sp600_row_341.csv,2695856640.0
CXM,SPRINKLR INC A,85208T107,sp600_row_341.csv,1440647168.0
CXT,Crane NXT Co.,224441105,sp400_row_400.csv,2428139776.0
CYTK,Cytokinetics Incorporated,23282W605,sp400_row_400.csv,7397158400.0
D,DOMINION ENERGY INC,25746U109,sp500_row_504.csv,55548035072.0
DAL,DELTA AIR LINES INC,247361702,sp500_row_504.csv,38391021568.0
DAN,DANA INC,235825205,sp600_row_341.csv,3420419840.0
DAR,Darling Ingredients Inc,237266101,sp400_row_400.csv,8691474432.0
DASH,DOORDASH INC   A,25809K105,sp500_row_504.csv,70099042304.0
DBX,Dropbox Inc. Class A,26210C104,sp400_row_400.csv,6448516096.0
DCI,Donaldson Company Inc.,257651109,sp400_row_400.csv,9936862208.0
DD,DUPONT DE NEMOURS INC,26614N102,"dow_row_179.csv, sp500_row_504.csv",18811992064.0
DDOG,DATADOG INC   CLASS A,23804L103,sp500_row_504.csv,44061564928.0
