Ticker,Company,Link
TFC,Truist Financial,https://www.macrotrends.net/stocks/charts/TFC/truist-financial
WPM,Wheaton Precious Metals,https://www.macrotrends.net/stocks/charts/WPM/wheaton-precious-metals
TRP,TC Energy,https://www.macrotrends.net/stocks/charts/TRP/tc-energy
CNI,Canadian National Railway,https://www.macrotrends.net/stocks/charts/CNI/canadian-national-railway
EOG,EOG Resources,https://www.macrotrends.net/stocks/charts/EOG/eog-resources
LHX,L3Harris Technologies Inc,https://www.macrotrends.net/stocks/charts/LHX/l3harris-technologies-inc
ET,Energy Transfer LP,https://www.macrotrends.net/stocks/charts/ET/energy-transfer-lp
PSX,Phillips 66,https://www.macrotrends.net/stocks/charts/PSX/phillips-66
SPG,Simon Property,https://www.macrotrends.net/stocks/charts/SPG/simon-property
NWG,NatWest Group,https://www.macrotrends.net/stocks/charts/NWG/natwest-group
AZO,AutoZone,https://www.macrotrends.net/stocks/charts/AZO/autozone
FTNT,Fortinet,https://www.macrotrends.net/stocks/charts/FTNT/fortinet
TRV,Travelers,https://www.macrotrends.net/stocks/charts/TRV/travelers
ROST,Ross Stores,https://www.macrotrends.net/stocks/charts/ROST/ross-stores
SE,Sea,https://www.macrotrends.net/stocks/charts/SE/sea
SNOW,Snowflake,https://www.macrotrends.net/stocks/charts/SNOW/snowflake
APD,Air Products And Chemicals,https://www.macrotrends.net/stocks/charts/APD/air-products-and-chemicals
DLR,Digital Realty Trust,https://www.macrotrends.net/stocks/charts/DLR/digital-realty-trust
SRE,Sempra Energy,https://www.macrotrends.net/stocks/charts/SRE/sempra-energy
MFC,Manulife Financial Corp,https://www.macrotrends.net/stocks/charts/MFC/manulife-financial-corp
NXPI,NXP Semiconductors,https://www.macrotrends.net/stocks/charts/NXPI/nxp-semiconductors
MPC,Marathon Petroleum,https://www.macrotrends.net/stocks/charts/MPC/marathon-petroleum
VLO,Valero Energy,https://www.macrotrends.net/stocks/charts/VLO/valero-energy
BKR,Baker Hughes,https://www.macrotrends.net/stocks/charts/BKR/baker-hughes
O,Realty Income,https://www.macrotrends.net/stocks/charts/O/realty-income
AFL,Aflac,https://www.macrotrends.net/stocks/charts/AFL/aflac
INFY,American Noble Gas,https://www.macrotrends.net/stocks/charts/INFY/american-noble-gas
TAK,Takeda Pharmaceutical,https://www.macrotrends.net/stocks/charts/TAK/takeda-pharmaceutical
MDLN,Medline,https://www.macrotrends.net/stocks/charts/MDLN/medline
VST,Vistra,https://www.macrotrends.net/stocks/charts/VST/vistra
MPLX,MPLX LP,https://www.macrotrends.net/stocks/charts/MPLX/mplx-lp
D,Dominion Energy,https://www.macrotrends.net/stocks/charts/D/dominion-energy
RELX,RELX,https://www.macrotrends.net/stocks/charts/RELX/relx
F,Ford Motor,https://www.macrotrends.net/stocks/charts/F/ford-motor
MPWR,Monolithic Power Systems,https://www.macrotrends.net/stocks/charts/MPWR/monolithic-power-systems
AU,AngloGold Ashanti,https://www.macrotrends.net/stocks/charts/AU/anglogold-ashanti
DEO,Diageo,https://www.macrotrends.net/stocks/charts/DEO/diageo
URI,United Rentals,https://www.macrotrends.net/stocks/charts/URI/united-rentals
CARR,Carrier Global,https://www.macrotrends.net/stocks/charts/CARR/carrier-global
ALL,Allstate,https://www.macrotrends.net/stocks/charts/ALL/allstate
OKE,ONEOK,https://www.macrotrends.net/stocks/charts/OKE/oneok
GWW,W.W Grainger,https://www.macrotrends.net/stocks/charts/GWW/ww-grainger
FER,Ferrovial SE,https://www.macrotrends.net/stocks/charts/FER/ferrovial-se
AJG,Arthur J Gallagher,https://www.macrotrends.net/stocks/charts/AJG/arthur-j-gallagher
ZTS,Zoetis,https://www.macrotrends.net/stocks/charts/ZTS/zoetis
FAST,Fastenal,https://www.macrotrends.net/stocks/charts/FAST/fastenal
AME,AMETEK,https://www.macrotrends.net/stocks/charts/AME/ametek
PSA,Public Storage,https://www.macrotrends.net/stocks/charts/PSA/public-storage
TGT,Target,https://www.macrotrends.net/stocks/charts/TGT/target
CAH,Cardinal Health,https://www.macrotrends.net/stocks/charts/CAH/cardinal-health
ASX,ASE Technology Holding,https://www.macrotrends.net/stocks/charts/ASX/ase-technology-holding
FERG,Ferguson,https://www.macrotrends.net/stocks/charts/FERG/ferguson
MET,MetLife,https://www.macrotrends.net/stocks/charts/MET/metlife
ARGX,Argenex SE,https://www.macrotrends.net/stocks/charts/ARGX/argenex-se
CTVA,Corteva,https://www.macrotrends.net/stocks/charts/CTVA/corteva
IDXX,IDEXX Laboratories,https://www.macrotrends.net/stocks/charts/IDXX/idexx-laboratories
EA,Electronic Arts,https://www.macrotrends.net/stocks/charts/EA/electronic-arts
BDX,Becton Dickinson,https://www.macrotrends.net/stocks/charts/BDX/becton-dickinson
HLN,Haleon,https://www.macrotrends.net/stocks/charts/HLN/haleon
HMC,Honda,https://www.macrotrends.net/stocks/charts/HMC/honda
EXC,Exelon,https://www.macrotrends.net/stocks/charts/EXC/exelon
TER,Teradyne,https://www.macrotrends.net/stocks/charts/TER/teradyne
CCJ,Cameco,https://www.macrotrends.net/stocks/charts/CCJ/cameco
ADSK,Autodesk,https://www.macrotrends.net/stocks/charts/ADSK/autodesk
ABEV,Ambev S.A,https://www.macrotrends.net/stocks/charts/ABEV/ambev-sa
GFI,Gold Fields,https://www.macrotrends.net/stocks/charts/GFI/gold-fields
FNV,Franco-Nevada,https://www.macrotrends.net/stocks/charts/FNV/franco-nevada
DHI,D.R Horton,https://www.macrotrends.net/stocks/charts/DHI/dr-horton
FANG,Diamondback Energy,https://www.macrotrends.net/stocks/charts/FANG/diamondback-energy
XEL,Xcel Energy,https://www.macrotrends.net/stocks/charts/XEL/xcel-energy
TRGP,Targa Resources,https://www.macrotrends.net/stocks/charts/TRGP/targa-resources
MT,ArcelorMittal,https://www.macrotrends.net/stocks/charts/MT/arcelormittal
LNG,Cheniere Energy,https://www.macrotrends.net/stocks/charts/LNG/cheniere-energy
BIDU,Baidu,https://www.macrotrends.net/stocks/charts/BIDU/baidu
CMG,Chipotle Mexican Grill,https://www.macrotrends.net/stocks/charts/CMG/chipotle-mexican-grill
FIX,Comfort Systems USA,https://www.macrotrends.net/stocks/charts/FIX/comfort-systems-usa
ETR,Entergy,https://www.macrotrends.net/stocks/charts/ETR/entergy
HEI,Heico,https://www.macrotrends.net/stocks/charts/HEI/heico
CCEP,Coca-Cola Europacific Partners,https://www.macrotrends.net/stocks/charts/CCEP/coca-cola-europacific-partners
OXY,Occidental Petroleum,https://www.macrotrends.net/stocks/charts/OXY/occidental-petroleum
NDAQ,Nasdaq,https://www.macrotrends.net/stocks/charts/NDAQ/nasdaq
HSY,Hershey,https://www.macrotrends.net/stocks/charts/HSY/hershey
KR,Kroger,https://www.macrotrends.net/stocks/charts/KR/kroger
DAL,Delta Air Lines,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines
YUM,Yum! Brands,https://www.macrotrends.net/stocks/charts/YUM/yum!-brands
ROK,Rockwell Automation,https://www.macrotrends.net/stocks/charts/ROK/rockwell-automation
COIN,Coinbase Global,https://www.macrotrends.net/stocks/charts/COIN/coinbase-global
EW,Edwards Lifesciences,https://www.macrotrends.net/stocks/charts/EW/edwards-lifesciences
AMP,Ameriprise Financial,https://www.macrotrends.net/stocks/charts/AMP/ameriprise-financial
DDOG,Datadog,https://www.macrotrends.net/stocks/charts/DDOG/datadog
