"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"LEA","Lear Corporation","521865204","B570P91",0.00185516046321688,"Consumer Discretionary",379282,"USD"
"EXP","Eagle Materials Inc.","26969P108","2191399",0.00184860975536654,"Materials",234454,"USD"
"JEF","Jefferies Financial Group Inc.","47233W109","BG0Q4Z2",0.00183826971497507,"Financials",1206679,"USD"
"AXTA","Axalta Coating Systems Ltd.","G0750C108","BSFWCF5",0.00183810846678183,"Materials",1559972,"USD"
"POR","Portland General Electric Company","736508847","B125XQ6",0.00183505482912237,"Utilities",822535,"USD"
"ESAB","ESAB Corporation","29605J106","BJLTMN5",0.0018283831851271,"Industrials",417287,"USD"
"ENS","EnerSys","29275Y102","B020GQ5",0.00182342480318499,"Industrials",269882,"USD"
"AAON","AAON Inc.","000360206","2268130",0.00182194333540961,"Industrials",494817,"USD"
"MTG","MGIC Investment Corporation","552848103","2548616",0.00180663483506396,"Financials",1636025,"USD"
"FNB","F.N.B. Corporation","302520101","2041308",0.0017798474789621,"Financials",2618744,"USD"
"TXNM","TXNM Energy Inc.","69349H107","2707826",0.00177955521661185,"Utilities",716804,"USD"
"TMHC","Taylor Morrison Home Corporation","87724P106","B832462",0.00177885983377851,"Consumer Discretionary",714577,"USD"
"BSY","Bentley Systems Incorporated Class B","08265T208","BMC1PR6",0.00177044469369384,"Information Technology",1088997,"USD"
"RLI","RLI Corp.","749607107","2719070",0.00176059847589417,"Financials",671529,"USD"
"VLY","Valley National Bancorp","919794107","2935326",0.00175893560390139,"Financials",3506656,"USD"
"GBCI","Glacier Bancorp Inc.","37637Q105","2370585",0.00175205232165249,"Financials",940647,"USD"
"CHE","Chemed Corporation","16359R103","2190084",0.00175015765538193,"Health Care",103570,"USD"
"SWX","Southwest Gas Holdings Inc.","844895102","2831888",0.00173481892100006,"Utilities",469752,"USD"
"ESNT","Essent Group Ltd.","G3198U102","BFWGXR8",0.00172458973874144,"Financials",706826,"USD"
"RYN","Rayonier Inc.","754907103","2473138",0.001723360221268,"Real Estate",2031288,"USD"
"CHDN","Churchill Downs Incorporated","171484108","2194105",0.00172247335620518,"Consumer Discretionary",484380,"USD"
"WH","Wyndham Hotels & Resorts Inc.","98311A105","BF108P4",0.00171942979655779,"Consumer Discretionary",552449,"USD"
"CNX","CNX Resources Corporation","12653C108","BF3FTF4",0.00171418923027752,"Energy",985915,"USD"
"CHWY","Chewy Inc. Class A","16679L109","BJLFHW7",0.00171219378388618,"Consumer Discretionary",1645682,"USD"
"UBSI","United Bankshares Inc.","909907107","2905794",0.00170128937481838,"Financials",1024341,"USD"
"WEX","WEX Inc.","96208T104","B8383P2",0.00170016063746571,"Financials",250727,"USD"
"KRG","Kite Realty Group Trust","49803T300","BPBSZJ1",0.00169665348926276,"Real Estate",1583122,"USD"
"NJR","New Jersey Resources Corporation","646025106","2630513",0.00168745226423604,"Utilities",734511,"USD"
"AVTR","Avantor Inc.","05352A100","BJLT387",0.0016657543042333,"Health Care",4985519,"USD"
"SR","Spire Inc.","84857L101","BYXJQG9",0.00166511938947242,"Utilities",431602,"USD"
"WING","Wingstop Inc.","974155103","BYYXHN4",0.00165943539066073,"Consumer Discretionary",203181,"USD"
"LNTH","Lantheus Holdings Inc","516544103","BP8S8J5",0.00164920620840212,"Health Care",484883,"USD"
"BKH","Black Hills Corporation","092113109","2101741",0.0016489945701485,"Utilities",551867,"USD"
"VNT","Vontier Corp","928881101","BH4GV32",0.00162484765321093,"Information Technology",1060992,"USD"
"GAP","Gap Inc.","364760108","2360326",0.00161902256223016,"Consumer Discretionary",1655020,"USD"
"UFPI","UFP Industries Inc.","90278Q108","BMQ60Q1",0.00161695656975429,"Industrials",425983,"USD"
"OGS","ONE Gas Inc.","68235P108","BJ0KXV4",0.00161224006010204,"Utilities",438720,"USD"
"SON","Sonoco Products Company","835495102","2821395",0.00160871275587493,"Materials",721216,"USD"
"FBIN","Fortune Brands Innovations Inc.","34964C106","B3MC7D6",0.00160762433057057,"Industrials",878465,"USD"
